Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1643690.9,0,42.31,2.572,211.0963582,8.106
1,12-02-2010,1641957.44,1,38.51,2.548,211.2421698,8.106
1,19-02-2010,1611968.17,0,39.93,2.514,211.2891429,8.106
1,26-02-2010,1409727.59,0,46.63,2.561,211.3196429,8.106
1,05-03-2010,1554806.68,0,46.5,2.625,211.3501429,8.106
1,12-03-2010,1439541.59,0,57.79,2.667,211.3806429,8.106
1,19-03-2010,1472515.79,0,54.58,2.72,211.215635,8.106
1,26-03-2010,1404429.92,0,51.45,2.732,211.0180424,8.106
1,02-04-2010,1594968.28,0,62.27,2.719,210.8204499,7.808
1,09-04-2010,1545418.53,0,65.86,2.77,210.6228574,7.808
1,16-04-2010,1466058.28,0,66.32,2.808,210.4887,7.808
1,23-04-2010,1391256.12,0,64.84,2.795,210.4391228,7.808
1,30-04-2010,1425100.71,0,67.41,2.78,210.3895456,7.808
1,07-05-2010,1603955.12,0,72.55,2.835,210.3399684,7.808
1,14-05-2010,1494251.5,0,74.78,2.854,210.3374261,7.808
1,21-05-2010,1399662.07,0,76.44,2.826,210.6170934,7.808
1,28-05-2010,1432069.95,0,80.44,2.759,210.8967606,7.808
1,04-06-2010,1615524.71,0,80.69,2.705,211.1764278,7.808
1,11-06-2010,1542561.09,0,80.43,2.668,211.4560951,7.808